algoritmo,fold,cutoff,accuracy,f1,kappa,precision,recall,specificity
McFeeters,1,-0.26,0.649733462613171,0.48210699508819477,0.299466925226342,0.9245832414937182,0.3260633880317963,0.9734035371945458
McFeeters,1,-0.25,0.6403606743825456,0.45666322601380793,0.28072134876509125,0.9334563050372073,0.30226935208709205,0.9784519966779991
McFeeters,1,-0.24,0.6313704071905774,0.43174859442056707,0.2627408143811547,0.9417040358744395,0.28007904071087547,0.9826617736702792
McFeeters,1,-0.22999999999999998,0.6225396942286371,0.4067985135083005,0.24507938845727417,0.9494875219472665,0.2588501458489308,0.9862292426083434
McFeeters,1,-0.21999999999999997,0.6136864800291288,0.3816094513353155,0.2273729600582577,0.9558107110637251,0.23839447533250693,0.9889784847257508
McFeeters,1,-0.20999999999999996,0.6055655788341086,0.35774144983146144,0.2111311576682171,0.9624531784862985,0.2197020836145988,0.9914290740536184
McFeeters,1,-0.19999999999999996,0.5975940040338582,0.3338830102429527,0.1951880080677164,0.9687192989350415,0.20170109356014582,0.9934869145075707
McFeeters,1,-0.18999999999999995,0.5900233603757298,0.31081462123035664,0.18004672075145955,0.9744496431574635,0.18489471466385196,0.9951520060876076
McFeeters,1,-0.17999999999999994,0.5831032070400236,0.2891374637688742,0.16620641408004722,0.9805535841022002,0.16956932631294722,0.9966370877670999
McFeeters,1,-0.16999999999999993,0.5767864959845519,0.26923661075378197,0.1535729919691038,0.9851375103391232,0.15592539407849249,0.9976475978906113
McFeeters,1,-0.15999999999999992,0.5706886606036059,0.24996247560914597,0.1413773212072118,0.9882725294599711,0.14307514186007503,0.9983021793471368
McFeeters,1,-0.15000000000000002,0.5650060753341434,0.23195388516075904,0.13001215066828675,0.9897666676941097,0.1313704071905773,0.9986417434777095
McFeeters,1,-0.14,0.5598328362605398,0.21525500993782026,0.11966567252107962,0.9912003761671256,0.12073754965614018,0.9989281228649394
McFeeters,1,-0.13,0.5551546244134337,0.19990287047188762,0.11030924882686732,0.992546856161631,0.11114384018393739,0.9991654086429299
McFeeters,1,-0.12,0.5508834804096043,0.18579226866822918,0.10176696081920866,0.9930624380574826,0.10248290928728353,0.9992840515319251
McFeeters,1,-0.10999999999999999,0.5470132675478969,0.17277549495704145,0.09402653509579384,0.9938544845072844,0.09461156727256363,0.9994149678232302
McFeeters,1,-0.09999999999999998,0.5433782948971284,0.1603884649091463,0.08675658979425682,0.9946351931330472,0.08722707021613461,0.9995295195781223
McFeeters,1,-0.08999999999999997,0.5403426733924911,0.1499532814574672,0.08068534678498218,0.9950798272918968,0.08108627792710417,0.9995990688578781
McFeeters,1,-0.07999999999999996,0.537552519934051,0.14025974025974025,0.07510503986810191,0.9955193262794213,0.07544460399867448,0.9996604358694273
McFeeters,1,-0.06999999999999995,0.5349628320466716,0.1311962823261449,0.06992566409334322,0.9957651699733148,0.07022431688288311,0.9997013472104602
McFeeters,1,-0.05999999999999994,0.5325838375656116,0.12277239886057384,0.06516767513122312,0.9961996137312317,0.06541723431152349,0.9997504408196997
McFeeters,1,-0.04999999999999993,0.5303091670041852,0.11468317923487997,0.060618334008370356,0.9963154016212233,0.060843346384051124,0.9997749876243194
McFeeters,1,-0.039999999999999925,0.5281756405693222,0.10705699718556314,0.056351281138644405,0.9961815561959654,0.05656811124611854,0.9997831698925259
McFeeters,1,-0.030000000000000027,0.5262078050656422,0.09993199525909807,0.052415610131284485,0.9964352138871667,0.05260380230003559,0.9998118078312489
McFeeters,1,-0.020000000000000018,0.5244649819376429,0.09357076293821086,0.04892996387528581,0.9967602591792657,0.04908951810531397,0.9998404457699719
McFeeters,1,-0.010000000000000009,0.5227242043766953,0.08720247875686588,0.04544840875339062,0.9967802522135766,0.04559568958110878,0.9998527191722818
McFeeters,1,0,0.5211102519729495,0.08125831479061445,0.042220503945898935,0.9968226458694396,0.04235551137130724,0.9998649925745916
McFeeters,1,0.010000000000000009,0.5196804006038513,0.07597317760392891,0.03936080120770269,0.9966959215281362,0.0394917174990079,0.9998690837086949
McFeeters,1,0.020000000000000018,0.5182771416064247,0.07073576879671063,0.03655428321284937,0.9968857746635524,0.036668834967741405,0.999885448245108
McFeeters,1,0.030000000000000027,0.5169966166320966,0.0659361525376795,0.033993233264193234,0.9970092116281852,0.034095511616775286,0.9998977216474179
McFeeters,1,0.040000000000000036,0.5157917776386792,0.06140437832329488,0.031583555277358455,0.99703837239248,0.031677651361733984,0.9999059039156245
McFeeters,1,0.050000000000000044,0.514494888127938,0.05650364328050279,0.028989776255875954,0.9970538720538721,0.02907569007204487,0.999914086183831
McFeeters,1,0.06000000000000005,0.513367780682483,0.05221472338865826,0.02673556136496602,0.9972606909146249,0.02680920177882511,0.9999263595861408
McFeeters,1,0.07000000000000006,0.5123511338578167,0.04831234156370387,0.02470226771563344,0.9978562005277045,0.024755452458976153,0.9999468152566573
McFeeters,1,0.08000000000000007,0.5113672161059767,0.04454986160664289,0.02273443221195337,0.9978498476975453,0.022783525821192894,0.9999509063907606
McFeeters,1,0.09000000000000008,0.5104344375304278,0.0409460304230048,0.020868875060855663,0.9984365839359,0.0209016041336819,0.9999672709271737
McFeeters,1,0.10000000000000009,0.5095814360698929,0.03765147896454419,0.019162872139785847,0.9987223168654173,0.01918741894440558,0.9999754531953803
